CustomerKey,Full name,Gender,Date FirstPurchase,BirthDate,Customer City
11000,JonYang,Male,2011-01-19,1971-10-06,Rockhampton
11001,EugeneHuang,Male,2011-01-15,1976-05-10,Seaford
11002,RubenTorres,Male,2011-01-07,1971-02-09,Hobart
11003,ChristyZhu,Feamle,2010-12-29,1973-08-14,North Ryde
11004,ElizabethJohnson,Feamle,2011-01-23,1979-08-05,Wollongong
11005,JulioRuiz,Male,2010-12-30,1976-08-01,East Brisbane
11006,JanetAlvarez,Feamle,2011-01-24,1976-12-02,Matraville
11007,MarcoMehta,Male,2011-01-09,1969-11-06,Warrnambool
11008,RobVerhoff,Feamle,2011-01-25,1975-07-04,Bendigo
11009,ShannonCarlson,Male,2011-01-27,1969-09-29,Hervey Bay
11010,JacquelynSuarez,Feamle,2011-01-14,1969-08-05,East Brisbane
11011,CurtisLu,Male,2010-12-30,1969-05-03,East Brisbane
11012,LaurenWalker,Feamle,2013-03-16,1979-01-14,Bremerton
11013,IanJenkins,Male,2013-04-13,1979-08-03,Lebanon
11014,SydneyBennett,Feamle,2013-03-23,1973-11-06,Redmond
11015,ChloeYoung,Feamle,2013-01-18,1984-08-26,Burbank
11016,WyattHill,Male,2013-02-09,1984-10-25,Imperial Beach
11017,ShannonWang,Feamle,2011-01-12,1949-12-24,Sunbury
11018,ClarenceRai,Male,2011-01-17,1955-10-06,Bendigo
11019,LukeLal,Male,2013-02-12,1983-09-04,Langley
11020,JordanKing,Male,2012-12-29,1984-03-19,Metchosin
11021,DestinyWilson,Feamle,2013-01-23,1984-03-02,Beaverton
11022,EthanZhang,Male,2013-01-20,1984-04-10,Bellingham
11023,SethEdwards,Male,2013-02-17,1984-04-09,Bellflower
11024,RussellXie,Male,2013-06-27,1984-03-16,Concord
11025,AlejandroBeck,Male,2011-01-06,1951-06-22,Hawthorne
11026,HaroldSai,Male,2011-01-23,1951-10-01,Goulburn
11027,JessieZhao,Male,2011-01-16,1952-06-05,Warrnambool
11028,JillJimenez,Feamle,2011-01-26,1951-10-09,St. Leonards
11029,JimmyMoreno,Male,2011-01-19,1952-06-19,Bendigo
11030,BethanyYuan,Feamle,2011-02-05,1958-02-18,Cloverdale
11031,TheresaRamos,Feamle,2011-02-01,1953-02-18,Matraville
11032,DeniseStone,Feamle,2011-02-18,1952-12-08,Melbourne
11033,JaimeNath,Male,2011-02-15,1958-09-19,Milsons Point
11034,EbonyGonzalez,Feamle,2011-02-01,1952-12-16,North Sydney
11035,WendyDominguez,Feamle,2011-02-06,1953-08-23,Cranbourne
11036,JenniferRussell,Feamle,2013-01-22,1984-06-16,National City
11037,ChloeGarcia,Feamle,2013-01-20,1983-05-27,Cliffside
11038,DianaHernandez,Feamle,2011-02-07,1953-09-20,Lavender Bay
11039,MarcMartin,Male,2011-02-07,1954-06-16,Wollongong
11040,JesseMurphy,Male,2013-04-03,1983-01-29,Tacoma
11041,AmandaCarter,Feamle,2013-01-14,1983-04-15,Glendale
11042,MeganSanchez,Feamle,2013-01-21,1982-12-11,Los Angeles
11043,NathanSimmons,Male,2013-05-08,1981-08-23,Glendale
11044,AdamFlores,Male,2011-02-28,1954-11-21,Hervey Bay
11045,LeonardNara,Male,2013-04-10,1955-11-16,Matraville
11046,ChristineYuan,Feamle,2011-02-06,1955-09-19,Lavender Bay
11047,JaclynLu,Feamle,2011-02-03,1955-08-27,Geelong
11048,JeremyPowell,Male,2011-02-10,1956-05-21,Sunbury
11049,CarolRai,Feamle,2013-03-09,1986-01-15,Chula Vista
11050,AlanZheng,Male,2011-02-20,1957-03-06,Hobart
11051,DanielJohnson,Male,2013-12-29,1957-01-31,Caloundra
11052,HeidiLopez,Feamle,2011-02-17,1957-02-03,Matraville
11053,AnaPrice,Feamle,2013-01-17,1986-02-17,San Diego
11054,DeannaMunoz,Feamle,2011-02-03,1957-09-07,Geelong
11055,GilbertRaje,Male,2011-01-31,1957-09-02,East Brisbane
11056,MicheleNath,Feamle,2011-02-26,1958-10-01,Newcastle
11057,CarlAndersen,Male,2011-02-22,1970-04-07,Lane Cove
11058,MarcDiaz,Male,2011-03-09,1965-04-23,Findon
11059,AshleeAndersen,Feamle,2013-02-18,1959-09-29,Townsville
11060,JonZhou,Male,2011-03-19,1959-09-14,Warrnambool
11061,ToddGao,Male,2011-03-13,1976-02-20,Gold Coast
11062,NoahPowell,Male,2013-01-07,1981-03-01,Portland
11063,AngelaMurphy,Feamle,2013-01-12,1980-10-04,Redmond
11064,ChaseReed,Male,2013-01-25,1981-06-05,Downey
11065,JessicaHenderson,Feamle,2013-02-10,1979-04-08,La Jolla
11066,GraceButler,Feamle,2013-05-31,1979-05-27,Lebanon
11067,CalebCarter,Male,2013-08-18,1982-03-25,Port Orchard
11068,TiffanyLiang,Feamle,2013-04-30,1966-09-19,Warrnambool
11069,CarolynNavarro,Feamle,2011-04-17,1966-09-17,Gold Coast
